time,x,y,theta,linear_vel,angular_vel
8.099999999999987,0.0,0.65,0.0,0.1,0.28571428571428575
8.199999999999987,0.0,0.65,0.0,0.1,0.28571428571428575
8.299999999999986,0.0,0.65,0.0,0.1,0.28571428571428575
8.399999999999986,0.0,0.65,0.0,0.1,0.28571428571428575
8.499999999999986,0.0,0.65,0.0,0.1,0.28571428571428575
8.599999999999985,0.0,0.65,0.0,0.1,0.28571428571428575
8.699999999999985,0.0,0.65,0.0,0.1,0.28571428571428575
8.799999999999985,0.0,0.65,0.0,0.1,0.28571428571428575
8.899999999999984,0.0,0.65,0.0,0.1,0.28571428571428575
8.999999999999984,0.0,0.65,0.0,0.1,0.28571428571428575
9.099999999999984,0.0,0.65,0.0,0.1,0.28571428571428575
9.199999999999983,0.0,0.65,0.0,0.1,0.28571428571428575
9.299999999999983,0.0,0.65,0.0,0.1,0.28571428571428575
