Estimated Position_x,Estimated Position_y,Measured Position_x,Measured Position_y,Waypoints_x,Waypoints_y,Lidar_x,Lidar_y,Error_x,Error_y
,,,,,,0.5152810055,0.0426944671,,
,,,,,,-0.0019257466,0.5894287935,,
,,,,,,0.0269755412,0.2096753648,,
,,,,,,0.2385117597,0.1189125799,,
,,,,,,0.178598,0.1336930337,,
,,,,,,-0.1452151571,0.2512941103,,
,,,,,,-0.0511747946,0.2454129412,,
,,,,,,-0.0559021546,0.5533834317,,
,,,,,,0.1372353742,2.0299419317,,
,,,,,,0.0414261278,0.0601232115,,
,,,,,,1.1497872597,1.8431058397,,
,,,,,,-0.0848131764,0.4948476716,,
,,,,,,1.9956187826,1.0827714358,,
,,,,,,0.8607117498,0.8631226528,,
,,,,,,2.0888203902,1.5290860079,,
,,,,,,0.0315371146,0.1702315372,,
,,,,,,-0.0284707979,0.7220101843,,
,,,,,,0.0599362139,1.5721419449,,
,,,,,,-0.0071555315,1.1702333797,,
,,,,,,0.0,0.0,,
,,,,,,0.8496099842,1.0023197419,,
,,,,,,-0.0793386379,0.1750866704,,
,,,,,,0.0,0.0,,
,,,,,,-0.0060088309,1.0573731893,,
,,,,,,0.5612258765,0.0294517033,,
,,,,,,1.7138110759,-0.1667060333,,
,,,,,,-0.0346097517,0.1347209115,,
,,,,,,1.8653864337,0.0703118264,,
,,,,,,-0.0061977482,1.2869209247,,
,,,,,,0.0390026002,0.2343020714,,
,,,,,,-0.0044970096,0.1418972125,,
,,,,,,-0.1135099107,0.3921113439,,
,,,,,,0.059215035,0.0158324534,,
,,,,,,0.0,0.0,,
,,,,,,0.2631331288,0.1533799015,,
,,,,,,-0.0748629637,0.184320536,,
,,,,,,-0.0049932943,1.3354246751,,
,,,,,,-0.1161867991,0.1001963092,,
,,,,,,-0.0660821922,0.5534242401,,
,,,,,,0.142228121,0.1426629144,,
,,,,,,1.2581432015,-0.0895451373,,
,,,,,,-0.1118789388,0.3789970786,,
,,,,,,0.0845277969,0.3445433415,,
,,,,,,0.5720263928,0.050823585,,
,,,,,,0.966090592,0.8904726451,,
,,,,,,0.11464044,0.0681878368,,
,,,,,,0.4937449605,0.0489366652,,
,,,,,,0.058813452,0.0151641035,,
,,,,,,0.0193175657,0.0100870792,,
,,,,,,-0.0057042146,0.0289201394,,
,,,,,,-0.0106932543,0.0676323072,,
,,,,,,-0.0150620069,0.10161997,,
,,,,,,-0.018983348,0.1321260247,,
,,,,,,-0.0225743421,0.1600632813,,
,,,,,,-0.0259236561,0.1861230626,,
,,,,,,-0.0291022467,0.2108516329,,
,,,,,,-0.0321673471,0.2347020956,,
,,,,,,-0.0351703447,0.2580689592,,
,,,,,,-0.0381581968,0.2813164238,,
,,,,,,-0.0411778866,0.3048013542,,
,,,,,,-0.044274688,0.3288954147,,
,,,,,,-0.04750259,0.3540090839,,
,,,,,,-0.0509227845,0.3806214261,,
,,,,,,-0.054611872,0.4093204568,,
,,,,,,-0.058665698,0.4408599625,,
,,,,,,-0.063213639,0.4762489486,,
,,,,,,-0.0684389397,0.5168971666,,
,,,,,,-0.0746030264,0.5648561809,,
,,,,,,-0.0820331882,0.623188954,,
,,,,,,-0.0915543849,0.6971562001,,
,,,,,,-0.1042903278,0.7956761499,,
,,,,,,0.1480301165,0.168887991,,
,,,,,,0.1455450184,0.1879918663,,
,,,,,,0.1435020014,0.2040017783,,
,,,,,,0.141725015,0.2177498714,,
,,,,,,0.1401650503,0.2298809369,,
,,,,,,0.138759356,0.2408153743,,
,,,,,,0.1374667983,0.2508670043,,
,,,,,,0.1362570391,0.2602762859,,
,,,,,,0.1300157939,0.3088154206,,
,,,,,,0.1288472312,0.3179039203,,
,,,,,,0.1276131678,0.3275024515,,
,,,,,,0.1262874271,0.3378163006,,
,,,,,,0.1248356262,0.3491069987,,
