Estimated Position_x,Estimated Position_y,Measured Position_x,Measured Position_y,Waypoints_x,Waypoints_y,Lidar_x,Lidar_y
0.2999999992,0.8516717097,0.5466737171,0.259233124,1.2999999992,0.3000679156,0.0467070485,0.1655514465
0.2999999992,0.8516717097,0.3393882617,0.3129449570,0.2999999992,0.3000679156,1.6040157994,-0.0112878734
0.2999999992,0.8516717097,0.3327734002,0.3056525396,0.2999999992,0.3000679156,2.0820504864,1.3832803114
0.2999999992,0.8516717097,0.2078182737,0.4211527268,0.2999999992,1.3000679156,1.4793621505,1.7020041274
0.2999999992,0.8516717097,0.3162211681,0.3065812218,1.2999999992,1.3000679156,0.9084739163,0.0301886188
0.3044300865,1.0514335335,0.3857361913,0.4353275642,1.2999999992,0.3000679156,1.0713312677,-0.0054923963
0.3044300865,1.0514335335,0.3255794062,0.3091999925,0.2999999992,0.3000679156,0.1132962010,-0.081043478
0.3044300865,1.0514335335,0.4837864665,0.3199359773,0.2999999992,0.3000679156,-0.0055742130,1.1625114976
0.3044300865,1.0514335335,0.3469795160,0.3079150436,0.2999999992,1.3000679156,-0.0021466804,0.6147404311
0.3044300865,1.0514335335,0.4003907961,0.1859101045,1.2999999992,1.3000679156,-0.0559289044,0.5278302135
0.3044300865,1.0514335335,0.3168736144,0.3181166781,1.2999999992,0.3000679156,-0.5374231078,0.4492402139
0.4150361158,1.2362635164,0.2284586487,0.1886509297,0.2999999992,0.3000679156,0.1575623751,0.2525928917
0.4150361158,1.2362635164,0.3096660569,0.3044317958,0.2999999992,0.3000679156,-0.0039883080,0.8381674790
0.4150361158,1.2362635164,0.1821002707,0.3344416976,0.2999999992,1.3000679156,-0.0983195233,0.2059235754
0.4150361158,1.2362635164,0.0929428221,0.4421563729,1.2999999992,1.3000679156,0.0761603291,0.0803610478
0.4150361158,1.2362635164,0.1651268134,0.3910387770,1.2999999992,0.3000679156,0.8832354647,0.0291234917
0.6205200676,1.3000679156,0.0725357466,0.533701307,0.2999999992,0.3000679156,1.8854415705,0.4685672446
0.6205200676,1.3000679156,,,0.2999999992,0.3000679156,-0.0935253474,0.6802952273
0.6205200676,1.3000679156,,,0.2999999992,1.3000679156,0.0299265287,0.3000679156
0.6205200676,1.3000679156,,,1.2999999992,1.3000679156,1.2702251188,-0.0076561207
0.6205200676,1.3000679156,,,1.2999999992,0.3000679156,-0.0790435565,0.3828760895
0.8204428677,1.3000679156,,,0.2999999992,0.3000679156,0.0281515068,0.1739386124
0.8204428677,1.3000679156,,,0.2999999992,0.3000679156,1.2267704289,1.817920731
0.8204428677,1.3000679156,,,0.2999999992,1.3000679156,-0.1697401548,0.5596629723
0.8204428677,1.3000679156,,,1.2999999992,1.3000679156,0.0007951173,0.5336060870
0.8204428677,1.3000679156,,,1.2999999992,0.3000679156,0.0422828064,0.6416668856
1.0203640157,1.2993759623,,,0.2999999992,0.3000679156,0.8528309173,0.0384897346
1.0203640157,1.2993759623,,,0.2999999992,0.3000679156,-0.0405864708,0.1738910363
1.0203640157,1.2993759623,,,0.2999999992,1.3000679156,0.0089231175,0.2648861360
1.0203640157,1.2993759623,,,1.2999999992,1.3000679156,-0.7341898805,0.5584224478
1.0203640157,1.2993759623,,,1.2999999992,0.3000679156,0.0651791074,0.0176160636
1.2012868698,1.2225170012,,,0.2999999992,0.3000679156,1.9399569317,0.6043346922
1.2012868698,1.2225170012,,,,,0.6541304038,-0.0009624943
1.2012868698,1.2225170012,,,,,0.0353673987,0.2564578653
1.2012868698,1.2225170012,,,,,0.2345641445,0.2288595752
1.2012868698,1.2225170012,,,,,0.1521602811,0.114766039
1.2012868698,1.2225170012,,,,,0.0673921221,-0.0004056283
1.2985120291,1.0299103014,,,,,0.9829092733,0.0386968813
1.2985120291,1.0299103014,,,,,-0.0043953688,0.9424594202
1.2985120291,1.0299103014,,,,,-0.0036651087,1.1366652947
1.2985120291,1.0299103014,,,,,0.5009214514,0.0009629620
1.2985120291,1.0299103014,,,,,0.347410609,0.0867808569
1.2999999992,0.8301799413,,,,,0.0125863724,0.4390855068
1.2999999992,0.8301799413,,,,,1.7908958543,0.2326471644
1.2999999992,0.8301799413,,,,,1.2985064054,1.8186873853
1.2999999992,0.8301799413,,,,,0.059560573,0.7626120120
1.2999999992,0.8301799413,,,,,-0.0031963306,0.7314020329
1.2999999992,0.6304811116,,,,,0.0336956577,0.5815399681
1.2999999992,0.6304811116,,,,,-0.0106912549,0.3443949962
1.2999999992,0.6304811116,,,,,0.7795191199,0.0610587980
1.2999999992,0.6304811116,,,,,0.4111196721,2.0433438808
1.2999999992,0.6304811116,,,,,-0.0171333485,0.6772097988
1.2536127588,0.4398163378,,,,,0.6391668533,0.1043652442
1.2536127588,0.4398163378,,,,,1.199956624,-0.0068917092
1.2536127588,0.4398163378,,,,,0.018688243,0.1923989047
1.2536127588,0.4398163378,,,,,0.9670995591,0.0450743893
1.2536127588,0.4398163378,,,,,0.3320538735,0.0762310504
1.0809605454,0.3111987584,,,,,0.0517650346,1.7108882666
1.0809605454,0.3111987584,,,,,0.5351081406,0.0506874055
1.0809605454,0.3111987584,,,,,1.9446910876,0.6162054337
1.0809605454,0.3111987584,,,,,-0.0133734193,0.6476059181
1.0809605454,0.3111987584,,,,,0.9801366582,0.0210691933
0.8820723013,0.3000679156,,,,,0.0267445453,0.1325930606
0.8820723013,0.3000679156,,,,,1.2017545114,1.8294686686
0.8820723013,0.3000679156,,,,,0.6777868407,2.0212146471
0.8820723013,0.3000679156,,,,,0.8721490363,0.083147748
0.8820723013,0.3000679156,,,,,0.1018240397,0.0949424213
0.6807973341,0.3000679156,,,,,0.9436887108,1.9327369883
0.6807973341,0.3000679156,,,,,-0.0544840924,0.3349982523
0.6807973341,0.3000679156,,,,,1.8472306615,0.3733478701
0.6807973341,0.3000679156,,,,,0.0556879059,0.0935546141
0.6807973341,0.3000679156,,,,,-0.0055744482,1.5481904856
0.6807973341,0.3000679156,,,,,-0.069189646,0.363662791
0.4810517523,0.3000679156,,,,,-0.0088531645,0.4008651265
0.4810517523,0.3000679156,,,,,1.0318898747,-0.0184664371
0.4810517523,0.3000679156,,,,,0.7326571781,0.0755438539
0.4810517523,0.3000679156,,,,,0.8596113197,-0.0031888916
0.4810517523,0.3000679156,,,,,1.7988757122,-0.0134078083
0.3807097647,0.3000679156,,,,,1.6545775196,-0.0362121093
0.3807097647,0.3000679156,,,,,1.0305695514,0.0196130046
0.3807097647,0.3000679156,,,,,-0.0017213436,1.1176108428
0.3807097647,0.3000679156,,,,,-0.0160889506,0.3434701093
0.3807097647,0.3000679156,,,,,1.9494083324,0.5455664639
0.2999999992,0.3000679156,,,,,0.0727632825,0.0059972413
0.2999999992,0.3000679156,,,,,0.8709308994,-0.0138790444
0.2999999992,0.3000679156,,,,,-0.0016563748,0.7244880338
0.2999999992,0.3000679156,,,,,0.0190370523,0.2238677943
0.2999999992,0.3000679156,,,,,0.050968508,0.1313894738
0.2999999992,0.3000679156,,,,,-0.0049768382,0.3108163189
0.2999999992,0.3000679156,,,,,-0.2259590722,0.6692974931
0.2999999992,0.3000679156,,,,,-0.0029308323,1.0394255075
0.2999999992,0.3000679156,,,,,0.061675912,0.7774134985
0.2999999992,0.3000679156,,,,,0.0460298470,0.1709745465
0.2999999992,0.3000679156,,,,,0.0426110887,0.1282607548
0.2999999992,0.3000679156,,,,,-0.0401729388,0.8616005795
0.2999999992,0.3000679156,,,,,0.0408638425,0.2123894413
0.2999999992,0.3000679156,,,,,-0.0030654521,0.884628946
0.2999999992,0.3000679156,,,,,0.0524823914,0.1192546125
0.2999999992,0.3000679156,,,,,0.0143909588,0.1434182943
0.2999999992,0.3000679156,,,,,1.1064635556,0.0050012666
0.2999999992,0.3000679156,,,,,0.0377689073,0.1552109426
0.2999999992,0.3000679156,,,,,0.035000382,0.7487118659
0.2999999992,0.3000679156,,,,,-0.0745995401,0.6035374058
0.2999999992,0.3000679156,,,,,-0.002071026,0.9389906124
0.2999999992,0.3000679156,,,,,1.1738854119,-0.0035840273
0.2999999992,0.3000679156,,,,,0.0208662493,0.4917486236
0.2999999992,0.3000679156,,,,,-0.0060099219,1.1231696307
0.2999999992,0.3000679156,,,,,0.8631322108,0.0353331443
0.2999999992,0.3000679156,,,,,2.0828347514,1.3311575038
0.2999999992,0.3000679156,,,,,1.6719735752,2.0421546769
0.2999999992,0.3000679156,,,,,0.0414901466,0.2073679335
0.2999999992,0.3000679156,,,,,0.5580449777,2.0311521609
0.2999999992,0.3000679156,,,,,1.9564626113,0.5824822883
0.2999999992,0.3000679156,,,,,1.0763628003,-0.019733734
0.2999999992,0.3000679156,,,,,-0.0773140432,0.1942509383
0.2999999992,0.3000679156,,,,,-0.1623520902,0.5452374239
0.2999999992,0.3000679156,,,,,0.7180217780,-0.0015266122
0.2999999992,0.3000679156,,,,,0.0280788661,0.3148800080
0.2999999992,0.3000679156,,,,,0.0480858782,0.1544927118
0.2999999992,0.3000679156,,,,,1.1481236392,-0.0063277924
0.2999999992,0.3000679156,,,,,2.0735709929,1.1878531459
0.2999999992,0.3000679156,,,,,0.0447005973,0.1816326915
0.2999999992,0.3000679156,,,,,1.7295518975,0.0794440078
0.2999999992,0.3000679156,,,,,-0.0028024603,0.6947826559
0.2999999992,0.3000679156,,,,,0.0804743811,2.0568581150
0.2999999992,0.3000679156,,,,,-0.0079590733,1.5973637298
0.2999999992,0.3000679156,,,,,1.4681494692,-0.0308992132
0.2999999992,0.3000679156,,,,,0.0015276249,0.2258325556
0.2999999992,0.3000679156,,,,,0.5577728995,0.1295041039
0.2999999992,0.3000679156,,,,,0.0020155324,0.4870847092
0.2999999992,0.3000679156,,,,,0.8423319567,0.0417089303
0.2999999992,0.3000679156,,,,,2.084404137,1.2269818827
0.2999999992,0.3000679156,,,,,0.023994383,0.5136472656
0.2999999992,0.3000679156,,,,,0.4889361777,0.0565666158
0.2999999992,0.3000679156,,,,,-0.0015356859,0.3072696729
