Estimated Position_x,Estimated Position_y,Measured Position_x,Measured Position_y,Waypoints_x,Waypoints_y,Lidar_x,Lidar_y
0.4486458155,1.2590889785,0.3489075559,0.2562762126,0.2999999992,0.3000679156,0.1281853912,0.3054038056
0.4486458155,1.2590889785,0.178549956,0.2774171833,0.2999999992,1.3000679156,-0.1077934144,0.2230386099
0.4486458155,1.2590889785,0.2923320168,0.2604179435,1.2999999992,1.3000679156,-0.0726841990,0.4780537026
0.4486458155,1.2590889785,0.1400872031,0.2796612623,1.2999999992,0.3000679156,0.,0.
0.4486458155,1.2590889785,0.3081148488,0.2559994839,0.2999999992,0.3000679156,0.4073946831,0.0769612348
0.6400456909,1.3000679156,0.1378053674,0.2776267519,0.2999999992,0.3000679156,0.0485911459,0.0097515345
0.6400456909,1.3000679156,0.2924362753,0.2606072671,0.2999999992,1.3000679156,-0.0688790431,0.4206686194
0.6400456909,1.3000679156,0.1221384155,0.2823581067,1.2999999992,1.3000679156,0.0311174989,0.1757919753
0.6400456909,1.3000679156,0.3061252795,0.2618292515,1.2999999992,0.3000679156,0.0245822197,0.0066995217
0.6400456909,1.3000679156,,,0.2999999992,0.3000679156,0.0922503248,0.2831543423
0.8404798988,1.3000679156,,,0.2999999992,0.3000679156,0.0287414123,0.3176758017
0.8404798988,1.3000679156,,,0.2999999992,1.3000679156,0.1095324091,0.1458757571
0.8404798988,1.3000679156,,,1.2999999992,1.3000679156,0.1128148549,0.1196176986
0.8404798988,1.3000679156,,,1.2999999992,0.3000679156,-0.0017878267,0.6593010634
0.8404798988,1.3000679156,,,0.2999999992,0.3000679156,-0.0298374441,0.3412222214
1.0596628506,1.2940753035,,,0.2999999992,0.3000679156,0.,0.
1.0596628506,1.2940753035,,,0.2999999992,1.3000679156,0.0563710762,0.0931441653
1.0596628506,1.2940753035,,,1.2999999992,1.3000679156,0.0765783101,0.2442268456
1.0596628506,1.2940753035,,,1.2999999992,0.3000679156,0.,0.
1.0596628506,1.2940753035,,,0.2999999992,0.3000679156,-0.1591566140,0.4494515260
1.2285307523,1.1944224752,,,,,-0.0765324860,0.4341262807
1.2285307523,1.1944224752,,,,,0.517738589,2.0019741393
1.2285307523,1.1944224752,,,,,-0.0019434779,0.5668894415
1.2285307523,1.1944224752,,,,,-0.0616053794,0.7088116912
1.2285307523,1.1944224752,,,,,-0.1155749200,0.3466181041
1.2999084903,1.0074771615,,,,,0.,0.
1.2999084903,1.0074771615,,,,,-0.1457944908,0.8787436315
1.2999084903,1.0074771615,,,,,1.2873883774,-0.0999027632
1.2999084903,1.0074771615,,,,,2.0401513844,1.2567336508
1.2999084903,1.0074771615,,,,,0.0843100317,0.1820901222
1.2999084903,1.0074771615,,,,,-0.0870927154,0.2384311879
1.2999999992,0.7907123204,,,,,-0.0299679784,0.2542284376
1.2999999992,0.7907123204,,,,,0.0844405752,0.1570343527
1.2999999992,0.7907123204,,,,,1.5828642317,-0.1498520951
1.2999999992,0.7907123204,,,,,0.6682828879,-0.0321363204
1.2999999992,0.7907123204,,,,,1.8726536223,0.1277142656
1.2998659255,0.5910998471,,,,,0.0786856193,0.3909870281
1.2998659255,0.5910998471,,,,,0.0099241458,0.0282957134
1.2998659255,0.5910998471,,,,,0.0030567234,0.8492943274
1.2998659255,0.5910998471,,,,,-0.0034167962,1.3494422836
1.2998659255,0.5910998471,,,,,0.0246170228,0.0067492259
1.2292757779,0.4065928079,,,,,-0.1111719156,0.3618711548
1.2292757779,0.4065928079,,,,,1.8986052561,-0.0335513887
1.2292757779,0.4065928079,,,,,-0.002071026,0.8015688375
1.2292757779,0.4065928079,,,,,0.,0.
1.2292757779,0.4065928079,,,,,0.1895901675,0.1309418973
1.0424697322,0.3030892601,,,,,1.6378092397,1.9323278024
1.0424697322,0.3030892601,,,,,2.0108032782,1.1459823445
1.0424697322,0.3030892601,,,,,-0.1277521359,0.5066167911
1.0424697322,0.3030892601,,,,,-0.0639798327,0.3309665138
1.0424697322,0.3030892601,,,,,0.0225912362,0.8252687695
0.8426535086,0.3000679156,,,,,-0.031908112,0.1166773243
0.8426535086,0.3000679156,,,,,-0.0314741767,0.6877212342
0.8426535086,0.3000679156,,,,,0.0722553773,0.4421023007
0.8426535086,0.3000679156,,,,,-0.0465946114,0.3899391771
0.8426535086,0.3000679156,,,,,0.035841365,0.1371489371
0.8426535086,0.3000679156,,,,,-0.1089232374,0.4167688387
0.6222811178,0.3000679156,,,,,0.0903373049,0.1336237081
0.6222811178,0.3000679156,,,,,-0.0566884097,0.4723281841
0.6222811178,0.3000679156,,,,,0.,0.
0.6222811178,0.3000679156,,,,,-0.002930952,0.9020038655
0.6222811178,0.3000679156,,,,,0.9568890279,-0.0541844877
0.4609834407,0.3000679156,,,,,-0.1020618876,0.3000679156
0.4609834407,0.3000679156,,,,,-0.1364031214,0.5761733385
0.4609834407,0.3000679156,,,,,1.6769636143,0.1106816738
0.4609834407,0.3000679156,,,,,-0.1729736935,0.5617628631
